security_code,cash_per_share_2022,cash_per_share_2023,cash_per_share_2024,coverage_2022,coverage_2023,coverage_2024,strict_dividend_growth,cash_coverage_pass,eligible
002020,0.3,0.3,0.35,3.3130036242443546,3.0693439168620933,2.409612726629504,False,True,False
002025,0.37,0.38,0.2299999999999999,1.0666409983952267,9.458422902487635,-2.470003681380875,False,False,False
002026,0.05,0.12,0.08,12.270642575454321,5.688324237522601,7.586074992283364,False,True,False
002027,0.2799999999999999,0.3299999999999999,0.2299999999999999,1.6565939579283255,1.6110189078194523,1.9995181140442997,False,True,False
002028,0.2999822,0.399916,0.4998402999999999,4.565533836710097,7.338391972668444,6.32898838310438,True,True,True
002032,3.03,2.73,2.81,1.2926495740753798,0.9299232548094046,1.1472947053091587,False,False,False
002034,0.5,0.3,0.3,7.01468497491522,9.785302314950155,12.260092823392759,False,True,False
002035,0.1,0.3,0.3,4.660808465752339,4.518399596134719,2.486732169452421,False,True,False
002038,0.1,0.15,0.02,3.7944313127950555,2.986306494054282,10.974214391882027,False,True,False
002039,0.3,0.19,0.06,15.170798403287353,22.232330323765392,49.008767741207656,False,True,False
002040,0.067,0.102,0.095,8.933901102785939,7.060790476696716,7.277095369176977,False,True,False
002043,0.5,0.55,0.32,2.211496564756905,4.1391408324692565,4.327803355617941,False,True,False
002050,0.2,0.25,0.25,3.494508412125494,3.990729095682232,4.6797162058380914,False,True,False
002053,0.05,0.16,0.3299999999999999,17.378976791819056,6.306855524664734,4.095188575919028,True,True,True
002054,0.0699999999999999,0.0699999999999999,0.0699999999999999,11.019976088335685,-0.5584452441190678,8.524308144348806,False,False,False
002056,0.362,0.39,0.4519999999999999,4.901843518520821,6.138020254837057,4.7905693300935965,True,True,True
002060,0.15,0.155,0.1399999999999999,4.3228090966153845,4.06693898872707,6.780591811424172,False,True,False
002061,0.1699999999999999,0.125,0.125,3.335628683595785,1.7587072392888428,3.2913205445363767,False,True,False
002062,0.1,0.1,0.1,11.240109822312926,9.184643042993198,3.5542828037878453,False,True,False
002063,0.05,0.026,0.03,0.4507910946220033,-1.716567466133748,4.06086794646219,False,False,False
002065,0.05,0.05,0.05,0.16322650683736795,1.5597906321977515,4.947626391862473,False,False,False
002066,0.08,0.1,0.15,15.523994662337664,8.028576112121211,10.146874638095237,True,True,True
002073,0.046,0.1,0.1,8.582012651025588,2.28140091604787,8.984793948373884,False,True,False
002075,0.05,0.05,0.025,9.11848826386021,-1.3415997652447686,7.51066858739985,False,False,False
002078,0.2,0.3,0.3,6.840779100033235,7.893271208481844,10.138489762609183,False,True,False
002080,0.6599999999999999,0.5599999999999999,0.225,2.852887230403964,5.128946288969672,9.534713227493341,False,True,False
002081,0.1,0.1,0.1,1.1380363904101034,1.2948010101905132,1.5237332993567099,False,False,False
002085,0.1,0.15,0.1,6.232371588722164,6.467367950394441,5.563169711468415,False,True,False
002088,0.8,0.8,0.8,1.5181892397747039,0.8079226364826608,1.3749883356576706,False,False,False
002090,0.025,0.05,0.04,9.190615535352787,15.140017853892589,18.82281382688027,False,True,False
002095,0.05,0.05,0.05,-9.927477169990503,-7.4352102651155425,-5.353324949351061,False,False,False
002096,0.03,0.205,0.2299999999999999,10.16992487678392,2.8390084836242644,2.334230763164446,True,True,True
002106,0.2,0.25,0.1,5.193895583801878,4.10676498883222,6.826862126534479,False,True,False
002108,0.1,0.1,0.1,1.7171457232639118,2.0590784789151204,0.2845434152614138,False,False,False
002116,0.1854,0.26165,0.3093789999999999,11.390232110860767,-1.9409502554109646,1.9223372837644457,True,False,False
002117,0.22,0.26,0.21,1.336127696811642,1.4261953174840156,2.3719079342093354,False,True,False
002119,0.03,0.03,0.03,26.415700909178117,0.6920041053353371,3.901069193819436,False,False,False
002120,0.052,0.1699999999999999,0.2,35.057602076063944,6.872437449670486,8.772784929395597,True,True,True
002125,0.126,0.1679999999999999,0.16,3.0349114591784563,4.016963535966251,4.032071848189655,False,True,False
002126,0.08,0.1,0.12,8.693832665625978,11.203128242567221,12.030915130239187,True,True,True
002130,0.04,0.1699999999999999,0.1366402,17.261185157023775,3.866195596710178,5.213643555207045,False,True,False
002135,0.1,0.1,0.0699999999999999,-10.036929912574989,-13.865189435744712,13.929072671178352,False,False,False
